client_id,num_cards,num_classic_cards,num_junior_cards,num_gold_cards,gold_card,classic_card,junior_card,earliest_card_issue,latest_card_issue,card_id
19,1,1,0,0,0,1,0,980313 00:00:00,980313 00:00:00,2
42,1,1,0,0,0,1,0,981126 00:00:00,981126 00:00:00,4
56,1,1,0,0,0,1,0,980611 00:00:00,980611 00:00:00,7
76,1,1,0,0,0,1,0,971025 00:00:00,971025 00:00:00,9
77,1,1,0,0,0,1,0,961207 00:00:00,961207 00:00:00,10
87,1,1,0,0,0,1,0,940629 00:00:00,940629 00:00:00,13
112,1,1,0,0,0,1,0,960217 00:00:00,960217 00:00:00,14
114,1,1,0,0,0,1,0,950305 00:00:00,950305 00:00:00,15
116,1,1,0,0,0,1,0,980623 00:00:00,980623 00:00:00,16
127,1,1,0,0,0,1,0,980607 00:00:00,980607 00:00:00,17
130,1,1,0,0,0,1,0,970909 00:00:00,970909 00:00:00,19
131,1,1,0,0,0,1,0,981202 00:00:00,981202 00:00:00,20
132,1,1,0,0,0,1,0,980226 00:00:00,980226 00:00:00,21
138,1,1,0,0,0,1,0,970111 00:00:00,970111 00:00:00,22
146,1,1,0,0,0,1,0,981003 00:00:00,981003 00:00:00,23
158,1,1,0,0,0,1,0,971206 00:00:00,971206 00:00:00,25
161,1,1,0,0,0,1,0,980914 00:00:00,980914 00:00:00,26
192,1,1,0,0,0,1,0,980820 00:00:00,980820 00:00:00,29
202,1,1,0,0,0,1,0,971001 00:00:00,971001 00:00:00,30
225,1,1,0,0,0,1,0,980320 00:00:00,980320 00:00:00,34
231,1,1,0,0,0,1,0,981007 00:00:00,981007 00:00:00,35
236,1,1,0,0,0,1,0,980928 00:00:00,980928 00:00:00,36
238,1,1,0,0,0,1,0,960420 00:00:00,960420 00:00:00,37
242,1,1,0,0,0,1,0,960831 00:00:00,960831 00:00:00,38
254,1,1,0,0,0,1,0,980714 00:00:00,980714 00:00:00,39
255,1,1,0,0,0,1,0,961013 00:00:00,961013 00:00:00,40
256,1,1,0,0,0,1,0,970831 00:00:00,970831 00:00:00,41
267,1,1,0,0,0,1,0,970829 00:00:00,970829 00:00:00,43
272,1,1,0,0,0,1,0,971205 00:00:00,971205 00:00:00,45
273,1,1,0,0,0,1,0,981110 00:00:00,981110 00:00:00,46
280,1,1,0,0,0,1,0,980813 00:00:00,980813 00:00:00,47
295,1,1,0,0,0,1,0,980310 00:00:00,980310 00:00:00,48
305,1,1,0,0,0,1,0,971003 00:00:00,971003 00:00:00,49
309,1,1,0,0,0,1,0,970528 00:00:00,970528 00:00:00,50
333,1,1,0,0,0,1,0,981013 00:00:00,981013 00:00:00,53
334,1,1,0,0,0,1,0,970124 00:00:00,970124 00:00:00,54
335,1,1,0,0,0,1,0,980125 00:00:00,980125 00:00:00,55
339,1,1,0,0,0,1,0,981122 00:00:00,981122 00:00:00,56
347,1,1,0,0,0,1,0,961109 00:00:00,961109 00:00:00,57
358,1,1,0,0,0,1,0,980311 00:00:00,980311 00:00:00,58
365,1,1,0,0,0,1,0,971027 00:00:00,971027 00:00:00,59
370,1,1,0,0,0,1,0,981018 00:00:00,981018 00:00:00,60
374,1,1,0,0,0,1,0,981018 00:00:00,981018 00:00:00,61
402,1,1,0,0,0,1,0,980510 00:00:00,980510 00:00:00,64
414,1,1,0,0,0,1,0,980202 00:00:00,980202 00:00:00,65
434,1,1,0,0,0,1,0,980131 00:00:00,980131 00:00:00,68
439,1,1,0,0,0,1,0,940208 00:00:00,940208 00:00:00,70
441,1,1,0,0,0,1,0,980411 00:00:00,980411 00:00:00,71
447,1,1,0,0,0,1,0,980309 00:00:00,980309 00:00:00,72
453,1,1,0,0,0,1,0,981018 00:00:00,981018 00:00:00,74
457,1,1,0,0,0,1,0,970729 00:00:00,970729 00:00:00,75
464,1,1,0,0,0,1,0,981223 00:00:00,981223 00:00:00,76
466,1,1,0,0,0,1,0,980813 00:00:00,980813 00:00:00,77
468,1,1,0,0,0,1,0,980804 00:00:00,980804 00:00:00,78
469,1,1,0,0,0,1,0,980902 00:00:00,980902 00:00:00,79
471,1,1,0,0,0,1,0,980625 00:00:00,980625 00:00:00,80
473,1,1,0,0,0,1,0,971217 00:00:00,971217 00:00:00,81
474,1,1,0,0,0,1,0,970507 00:00:00,970507 00:00:00,82
483,1,1,0,0,0,1,0,980105 00:00:00,980105 00:00:00,83
487,1,1,0,0,0,1,0,960626 00:00:00,960626 00:00:00,84
489,1,1,0,0,0,1,0,951231 00:00:00,951231 00:00:00,85
493,1,1,0,0,0,1,0,961102 00:00:00,961102 00:00:00,87
496,1,1,0,0,0,1,0,961104 00:00:00,961104 00:00:00,88
497,1,1,0,0,0,1,0,980422 00:00:00,980422 00:00:00,89
503,1,1,0,0,0,1,0,970604 00:00:00,970604 00:00:00,90
508,1,1,0,0,0,1,0,951120 00:00:00,951120 00:00:00,92
510,1,1,0,0,0,1,0,971109 00:00:00,971109 00:00:00,93
513,1,1,0,0,0,1,0,971106 00:00:00,971106 00:00:00,94
537,1,1,0,0,0,1,0,950906 00:00:00,950906 00:00:00,98
566,1,1,0,0,0,1,0,980619 00:00:00,980619 00:00:00,101
575,1,1,0,0,0,1,0,981112 00:00:00,981112 00:00:00,102
588,1,1,0,0,0,1,0,940119 00:00:00,940119 00:00:00,104
592,1,1,0,0,0,1,0,960114 00:00:00,960114 00:00:00,106
593,1,1,0,0,0,1,0,950627 00:00:00,950627 00:00:00,107
597,1,1,0,0,0,1,0,970625 00:00:00,970625 00:00:00,108
605,1,1,0,0,0,1,0,980426 00:00:00,980426 00:00:00,109
608,1,1,0,0,0,1,0,970531 00:00:00,970531 00:00:00,110
615,1,1,0,0,0,1,0,980605 00:00:00,980605 00:00:00,111
638,1,1,0,0,0,1,0,970730 00:00:00,970730 00:00:00,115
646,1,1,0,0,0,1,0,981011 00:00:00,981011 00:00:00,116
652,1,1,0,0,0,1,0,951022 00:00:00,951022 00:00:00,118
662,1,1,0,0,0,1,0,970703 00:00:00,970703 00:00:00,120
679,1,1,0,0,0,1,0,980612 00:00:00,980612 00:00:00,123
688,1,1,0,0,0,1,0,971010 00:00:00,971010 00:00:00,124
707,1,1,0,0,0,1,0,980523 00:00:00,980523 00:00:00,126
714,1,1,0,0,0,1,0,960523 00:00:00,960523 00:00:00,127
716,1,1,0,0,0,1,0,980819 00:00:00,980819 00:00:00,128
719,1,1,0,0,0,1,0,981105 00:00:00,981105 00:00:00,129
722,1,1,0,0,0,1,0,971229 00:00:00,971229 00:00:00,130
725,1,1,0,0,0,1,0,981208 00:00:00,981208 00:00:00,131
769,1,1,0,0,0,1,0,980907 00:00:00,980907 00:00:00,134
778,1,1,0,0,0,1,0,950728 00:00:00,950728 00:00:00,136
791,1,1,0,0,0,1,0,981102 00:00:00,981102 00:00:00,138
797,1,1,0,0,0,1,0,970714 00:00:00,970714 00:00:00,139
810,1,1,0,0,0,1,0,980701 00:00:00,980701 00:00:00,142
816,1,1,0,0,0,1,0,980615 00:00:00,980615 00:00:00,143
819,1,1,0,0,0,1,0,970617 00:00:00,970617 00:00:00,145
822,1,1,0,0,0,1,0,980723 00:00:00,980723 00:00:00,146
834,1,1,0,0,0,1,0,981122 00:00:00,981122 00:00:00,148
858,1,1,0,0,0,1,0,980107 00:00:00,980107 00:00:00,149
861,1,1,0,0,0,1,0,980916 00:00:00,980916 00:00:00,151
876,1,1,0,0,0,1,0,960916 00:00:00,960916 00:00:00,152
887,1,1,0,0,0,1,0,971228 00:00:00,971228 00:00:00,154
946,1,1,0,0,0,1,0,950501 00:00:00,950501 00:00:00,159
954,1,1,0,0,0,1,0,980617 00:00:00,980617 00:00:00,160
963,1,1,0,0,0,1,0,980525 00:00:00,980525 00:00:00,161
984,1,1,0,0,0,1,0,960918 00:00:00,960918 00:00:00,163
992,1,1,0,0,0,1,0,981129 00:00:00,981129 00:00:00,164
999,1,1,0,0,0,1,0,950305 00:00:00,950305 00:00:00,166
1011,1,1,0,0,0,1,0,950915 00:00:00,950915 00:00:00,167
1018,1,1,0,0,0,1,0,950124 00:00:00,950124 00:00:00,168
1019,1,1,0,0,0,1,0,980810 00:00:00,980810 00:00:00,169
1020,1,1,0,0,0,1,0,980416 00:00:00,980416 00:00:00,170
1027,1,1,0,0,0,1,0,970305 00:00:00,970305 00:00:00,171
1030,1,1,0,0,0,1,0,981214 00:00:00,981214 00:00:00,172
1031,1,1,0,0,0,1,0,980621 00:00:00,980621 00:00:00,173
1040,1,1,0,0,0,1,0,970103 00:00:00,970103 00:00:00,175
1056,1,1,0,0,0,1,0,981119 00:00:00,981119 00:00:00,177
1057,1,1,0,0,0,1,0,981121 00:00:00,981121 00:00:00,178
1059,1,1,0,0,0,1,0,980810 00:00:00,980810 00:00:00,179
1062,1,1,0,0,0,1,0,980929 00:00:00,980929 00:00:00,180
1066,1,1,0,0,0,1,0,940819 00:00:00,940819 00:00:00,181
1080,1,1,0,0,0,1,0,960508 00:00:00,960508 00:00:00,183
1098,1,1,0,0,0,1,0,970907 00:00:00,970907 00:00:00,185
1140,1,1,0,0,0,1,0,970907 00:00:00,970907 00:00:00,187
1146,1,1,0,0,0,1,0,940619 00:00:00,940619 00:00:00,188
1157,1,1,0,0,0,1,0,970219 00:00:00,970219 00:00:00,189
1165,1,1,0,0,0,1,0,970923 00:00:00,970923 00:00:00,190
1169,1,1,0,0,0,1,0,980608 00:00:00,980608 00:00:00,192
1182,1,1,0,0,0,1,0,970113 00:00:00,970113 00:00:00,194
1194,1,1,0,0,0,1,0,970203 00:00:00,970203 00:00:00,195
1213,1,1,0,0,0,1,0,970207 00:00:00,970207 00:00:00,199
1223,1,1,0,0,0,1,0,981208 00:00:00,981208 00:00:00,201
1228,1,1,0,0,0,1,0,960204 00:00:00,960204 00:00:00,202
1231,1,1,0,0,0,1,0,980916 00:00:00,980916 00:00:00,203
1242,1,1,0,0,0,1,0,981116 00:00:00,981116 00:00:00,205
1243,1,1,0,0,0,1,0,970922 00:00:00,970922 00:00:00,206
1244,1,1,0,0,0,1,0,980525 00:00:00,980525 00:00:00,207
1251,1,1,0,0,0,1,0,980731 00:00:00,980731 00:00:00,209
1271,1,1,0,0,0,1,0,970610 00:00:00,970610 00:00:00,211
1292,1,1,0,0,0,1,0,980124 00:00:00,980124 00:00:00,214
1296,1,1,0,0,0,1,0,980302 00:00:00,980302 00:00:00,215
1329,1,1,0,0,0,1,0,981204 00:00:00,981204 00:00:00,219
1339,1,1,0,0,0,1,0,980810 00:00:00,980810 00:00:00,221
1345,1,1,0,0,0,1,0,970619 00:00:00,970619 00:00:00,222
1353,1,1,0,0,0,1,0,950418 00:00:00,950418 00:00:00,223
1359,1,1,0,0,0,1,0,980303 00:00:00,980303 00:00:00,225
1378,1,1,0,0,0,1,0,970418 00:00:00,970418 00:00:00,226
1380,1,1,0,0,0,1,0,960810 00:00:00,960810 00:00:00,227
1384,1,1,0,0,0,1,0,960405 00:00:00,960405 00:00:00,229
1396,1,1,0,0,0,1,0,970501 00:00:00,970501 00:00:00,232
1418,1,1,0,0,0,1,0,980707 00:00:00,980707 00:00:00,233
1438,1,1,0,0,0,1,0,980502 00:00:00,980502 00:00:00,235
1445,1,1,0,0,0,1,0,971125 00:00:00,971125 00:00:00,237
1459,1,1,0,0,0,1,0,981223 00:00:00,981223 00:00:00,240
1461,1,1,0,0,0,1,0,970620 00:00:00,970620 00:00:00,241
1473,1,1,0,0,0,1,0,980924 00:00:00,980924 00:00:00,242
1478,1,1,0,0,0,1,0,961213 00:00:00,961213 00:00:00,243
1480,1,1,0,0,0,1,0,980316 00:00:00,980316 00:00:00,244
1483,1,1,0,0,0,1,0,981008 00:00:00,981008 00:00:00,245
1492,1,1,0,0,0,1,0,980208 00:00:00,980208 00:00:00,246
1512,1,1,0,0,0,1,0,980301 00:00:00,980301 00:00:00,248
1517,1,1,0,0,0,1,0,980206 00:00:00,980206 00:00:00,249
1522,1,1,0,0,0,1,0,980630 00:00:00,980630 00:00:00,250
1525,1,1,0,0,0,1,0,971023 00:00:00,971023 00:00:00,251
1529,1,1,0,0,0,1,0,970902 00:00:00,970902 00:00:00,252
1578,1,1,0,0,0,1,0,971111 00:00:00,971111 00:00:00,254
1583,1,1,0,0,0,1,0,970526 00:00:00,970526 00:00:00,256
1607,1,1,0,0,0,1,0,970126 00:00:00,970126 00:00:00,258
1610,1,1,0,0,0,1,0,970905 00:00:00,970905 00:00:00,259
