client_id,num_cards,num_classic_cards,num_junior_cards,num_gold_cards,gold_card,classic_card,junior_card,earliest_card_issue,latest_card_issue,card_id
51,1,0,1,0,0,0,1,950424 00:00:00,950424 00:00:00,5
60,1,0,1,0,0,0,1,980520 00:00:00,980520 00:00:00,8
83,1,0,1,0,0,0,1,960911 00:00:00,960911 00:00:00,12
167,1,0,1,0,0,0,1,981115 00:00:00,981115 00:00:00,27
174,1,0,1,0,0,0,1,980122 00:00:00,980122 00:00:00,28
221,1,0,1,0,0,0,1,971203 00:00:00,971203 00:00:00,33
264,1,0,1,0,0,0,1,980728 00:00:00,980728 00:00:00,42
268,1,0,1,0,0,0,1,960517 00:00:00,960517 00:00:00,44
429,1,0,1,0,0,0,1,980128 00:00:00,980128 00:00:00,67
451,1,0,1,0,0,0,1,980721 00:00:00,980721 00:00:00,73
504,1,0,1,0,0,0,1,970901 00:00:00,970901 00:00:00,91
519,1,0,1,0,0,0,1,980801 00:00:00,980801 00:00:00,95
531,1,0,1,0,0,0,1,950919 00:00:00,950919 00:00:00,97
584,1,0,1,0,0,0,1,960817 00:00:00,960817 00:00:00,103
626,1,0,1,0,0,0,1,970119 00:00:00,970119 00:00:00,112
629,1,0,1,0,0,0,1,951116 00:00:00,951116 00:00:00,113
649,1,0,1,0,0,0,1,961123 00:00:00,961123 00:00:00,117
666,1,0,1,0,0,0,1,960722 00:00:00,960722 00:00:00,121
786,1,0,1,0,0,0,1,970110 00:00:00,970110 00:00:00,137
826,1,0,1,0,0,0,1,981213 00:00:00,981213 00:00:00,147
906,1,0,1,0,0,0,1,980407 00:00:00,980407 00:00:00,156
967,1,0,1,0,0,0,1,961223 00:00:00,961223 00:00:00,162
996,1,0,1,0,0,0,1,980204 00:00:00,980204 00:00:00,165
1039,1,0,1,0,0,0,1,941204 00:00:00,941204 00:00:00,174
1168,1,0,1,0,0,0,1,980402 00:00:00,980402 00:00:00,191
1202,1,0,1,0,0,0,1,961021 00:00:00,961021 00:00:00,197
1211,1,0,1,0,0,0,1,980318 00:00:00,980318 00:00:00,198
1239,1,0,1,0,0,0,1,960530 00:00:00,960530 00:00:00,204
1310,1,0,1,0,0,0,1,960424 00:00:00,960424 00:00:00,216
1382,1,0,1,0,0,0,1,980315 00:00:00,980315 00:00:00,228
1390,1,0,1,0,0,0,1,980929 00:00:00,980929 00:00:00,231
1440,1,0,1,0,0,0,1,980129 00:00:00,980129 00:00:00,236
1500,1,0,1,0,0,0,1,971008 00:00:00,971008 00:00:00,247
1647,1,0,1,0,0,0,1,950824 00:00:00,950824 00:00:00,262
1691,1,0,1,0,0,0,1,960309 00:00:00,960309 00:00:00,267
1736,1,0,1,0,0,0,1,970617 00:00:00,970617 00:00:00,270
1754,1,0,1,0,0,0,1,961028 00:00:00,961028 00:00:00,272
1819,1,0,1,0,0,0,1,970628 00:00:00,970628 00:00:00,287
1831,1,0,1,0,0,0,1,960408 00:00:00,960408 00:00:00,289
1947,1,0,1,0,0,0,1,981223 00:00:00,981223 00:00:00,310
1999,1,0,1,0,0,0,1,950127 00:00:00,950127 00:00:00,314
2005,1,0,1,0,0,0,1,980324 00:00:00,980324 00:00:00,315
2038,1,0,1,0,0,0,1,980802 00:00:00,980802 00:00:00,319
2065,1,0,1,0,0,0,1,980724 00:00:00,980724 00:00:00,323
2121,1,0,1,0,0,0,1,980912 00:00:00,980912 00:00:00,328
2138,1,0,1,0,0,0,1,981009 00:00:00,981009 00:00:00,336
2277,1,0,1,0,0,0,1,980929 00:00:00,980929 00:00:00,357
2287,1,0,1,0,0,0,1,980523 00:00:00,980523 00:00:00,358
2324,1,0,1,0,0,0,1,961211 00:00:00,961211 00:00:00,363
2425,1,0,1,0,0,0,1,970517 00:00:00,970517 00:00:00,375
2475,1,0,1,0,0,0,1,940915 00:00:00,940915 00:00:00,384
