client_id,num_loans,loan_amount_total_usd,loan_amount_avg_usd,loan_amount_max_usd,loan_amount_min_usd,loan_duration_avg,loan_duration_max,loan_duration_min,loan_payment_avg_usd,loan_payment_max_usd,loan_payment_min_usd,loan_status_all,first_loan_date,last_loan_date,loan_id,car_loan,personal_loan,home_loan,business_loan
78,1,6306.48,6306.48,6306.48,6306.48,24.0,24,24,262.77,262.77,262.77,A,960502,960502,4973,0,0,0,1
424,1,7114.512,7114.512,7114.512,7114.512,24.0,24,24,296.438,296.438,296.438,B,950501,950501,5045,0,0,0,1
2403,1,7797.599999999999,7797.599999999999,7797.599999999999,7797.599999999999,36.0,36,36,216.6,216.6,216.6,A,941204,941204,5351,0,0,0,1
6349,1,7370.784,7370.784,7370.784,7370.784,36.0,36,36,204.744,204.744,204.744,A,940510,940510,6072,0,0,0,1
7299,1,445.96799999999996,445.96799999999996,445.96799999999996,445.96799999999996,24.0,24,24,18.582,18.582,18.582,A,941002,941002,6229,0,0,0,1
7914,1,8071.2,8071.2,8071.2,8071.2,36.0,36,36,224.2,224.2,224.2,A,940331,940331,6336,0,0,0,1
10269,1,5121.7919999999995,5121.7919999999995,5121.7919999999995,5121.7919999999995,24.0,24,24,213.408,213.408,213.408,A,950319,950319,6694,0,0,0,1
10287,1,290.928,290.928,290.928,290.928,24.0,24,24,12.122,12.122,12.122,A,940330,940330,6699,0,0,0,1
11063,1,8659.44,8659.44,8659.44,8659.44,36.0,36,36,240.54,240.54,240.54,A,941012,941012,6808,0,0,0,1
11851,1,9285.984,9285.984,9285.984,9285.984,48.0,48,48,193.458,193.458,193.458,C,951122,951122,6955,0,0,0,1
12416,1,8804.448,8804.448,8804.448,8804.448,36.0,36,36,244.56799999999998,244.56799999999998,244.56799999999998,A,951020,951020,7057,0,0,0,1
