client_id,num_loans,loan_amount_total_usd,loan_amount_avg_usd,loan_amount_max_usd,loan_amount_min_usd,loan_duration_avg,loan_duration_max,loan_duration_min,loan_payment_avg_usd,loan_payment_max_usd,loan_payment_min_usd,loan_status_all,first_loan_date,last_loan_date,loan_id,car_loan,personal_loan,home_loan,business_loan
25,1,1150.488,1150.488,1150.488,1150.488,12.0,12,12,95.874,95.874,95.874,B,960429,960429,4961,0,0,1,0
421,1,3837.24,3837.24,3837.24,3837.24,60.0,60,60,63.954,63.954,63.954,C,941221,941221,5044,0,0,1,0
426,1,1627.008,1627.008,1627.008,1627.008,12.0,12,12,135.584,135.584,135.584,C,980909,980909,5046,0,0,1,0
1608,1,893.76,893.76,893.76,893.76,12.0,12,12,74.48,74.48,74.48,A,970906,970906,5229,0,0,1,0
1944,1,2999.5679999999998,2999.5679999999998,2999.5679999999998,2999.5679999999998,12.0,12,12,249.964,249.964,249.964,A,940206,940206,5285,0,0,1,0
2291,1,2179.68,2179.68,2179.68,2179.68,12.0,12,12,181.64,181.64,181.64,B,970830,970830,5338,0,0,1,0
2451,1,1463.76,1463.76,1463.76,1463.76,12.0,12,12,121.98,121.98,121.98,A,970121,970121,5358,0,0,1,0
2550,1,3857.7599999999998,3857.7599999999998,3857.7599999999998,3857.7599999999998,12.0,12,12,321.48,321.48,321.48,A,961003,961003,5375,0,0,1,0
2809,1,1760.1599999999999,1760.1599999999999,1760.1599999999999,1760.1599999999999,24.0,24,24,73.34,73.34,73.34,A,960629,960629,5445,0,0,1,0
3608,1,3367.104,3367.104,3367.104,3367.104,12.0,12,12,280.592,280.592,280.592,C,980708,980708,5585,0,0,1,0
4177,1,2563.632,2563.632,2563.632,2563.632,12.0,12,12,213.636,213.636,213.636,A,970307,970307,5682,0,0,1,0
4377,1,6032.88,6032.88,6032.88,6032.88,60.0,60,60,100.548,100.548,100.548,C,950530,950530,5713,0,0,1,0
4520,1,2902.44,2902.44,2902.44,2902.44,12.0,12,12,241.87,241.87,241.87,A,950102,950102,5739,0,0,1,0
4768,1,2415.888,2415.888,2415.888,2415.888,12.0,12,12,201.32399999999998,201.32399999999998,201.32399999999998,C,980104,980104,5782,0,0,1,0
5322,1,2813.52,2813.52,2813.52,2813.52,12.0,12,12,234.46,234.46,234.46,A,970401,970401,5878,0,0,1,0
5563,1,2534.448,2534.448,2534.448,2534.448,24.0,24,24,105.602,105.602,105.602,C,980112,980112,5930,0,0,1,0
5858,1,5382.624,5382.624,5382.624,5382.624,24.0,24,24,224.27599999999998,224.27599999999998,224.27599999999998,A,960822,960822,5988,0,0,1,0
6042,1,4184.256,4184.256,4184.256,4184.256,24.0,24,24,174.344,174.344,174.344,A,961109,961109,6015,0,0,1,0
6499,1,5674.92,5674.92,5674.92,5674.92,60.0,60,60,94.582,94.582,94.582,C,940407,940407,6103,0,0,1,0
7010,1,4696.8,4696.8,4696.8,4696.8,60.0,60,60,78.28,78.28,78.28,C,960506,960506,6190,0,0,1,0
7594,1,3254.016,3254.016,3254.016,3254.016,48.0,48,48,67.792,67.792,67.792,C,960811,960811,6283,0,0,1,0
7765,1,4185.168,4185.168,4185.168,4185.168,24.0,24,24,174.382,174.382,174.382,A,961111,961111,6309,0,0,1,0
8667,1,1895.136,1895.136,1895.136,1895.136,12.0,12,12,157.928,157.928,157.928,C,980517,980517,6470,0,0,1,0
8777,1,1863.672,1863.672,1863.672,1863.672,12.0,12,12,155.30599999999998,155.30599999999998,155.30599999999998,C,980312,980312,6495,0,0,1,0
9196,1,1150.488,1150.488,1150.488,1150.488,12.0,12,12,95.874,95.874,95.874,B,960429,960429,6501,0,0,1,0
9775,1,3700.8959999999997,3700.8959999999997,3700.8959999999997,3700.8959999999997,12.0,12,12,308.408,308.408,308.408,A,970831,970831,6612,0,0,1,0
10159,1,1375.752,1375.752,1375.752,1375.752,12.0,12,12,114.646,114.646,114.646,D,980330,980330,6682,0,0,1,0
10492,1,1627.92,1627.92,1627.92,1627.92,12.0,12,12,135.66,135.66,135.66,A,971210,971210,6727,0,0,1,0
10517,1,3535.368,3535.368,3535.368,3535.368,12.0,12,12,294.614,294.614,294.614,C,980215,980215,6730,0,0,1,0
10777,1,1259.472,1259.472,1259.472,1259.472,12.0,12,12,104.956,104.956,104.956,A,970729,970729,6758,0,0,1,0
