client_id,num_loans,loan_amount_total_usd,loan_amount_avg_usd,loan_amount_max_usd,loan_amount_min_usd,loan_duration_avg,loan_duration_max,loan_duration_min,loan_payment_avg_usd,loan_payment_max_usd,loan_payment_min_usd,loan_status_all,first_loan_date,last_loan_date,loan_id,car_loan,personal_loan,home_loan,business_loan
31,1,1150.488,1150.488,1150.488,1150.488,12.0,12,12,95.874,95.874,95.874,A,971208,971208,4962,0,1,0,0
46,1,4207.968,4207.968,4207.968,4207.968,48.0,48,48,87.666,87.666,87.666,C,980419,980419,4968,0,1,0,0
127,1,13402.752,13402.752,13402.752,13402.752,48.0,48,48,279.224,279.224,279.224,C,981205,981205,4989,0,1,0,0
132,1,6177.888,6177.888,6177.888,6177.888,36.0,36,36,171.608,171.608,171.608,C,970908,970908,4990,0,1,0,0
158,1,3360.72,3360.72,3360.72,3360.72,12.0,12,12,280.06,280.06,280.06,A,961106,961106,4996,0,1,0,0
210,1,3982.7039999999997,3982.7039999999997,3982.7039999999997,3982.7039999999997,12.0,12,12,331.892,331.892,331.892,A,940531,940531,5002,0,1,0,0
352,1,4700.448,4700.448,4700.448,4700.448,48.0,48,48,97.926,97.926,97.926,A,941103,941103,5032,0,1,0,0
376,1,3467.424,3467.424,3467.424,3467.424,48.0,48,48,72.238,72.238,72.238,C,981125,981125,5036,0,1,0,0
383,1,2539.92,2539.92,2539.92,2539.92,24.0,24,24,105.83,105.83,105.83,C,970503,970503,5039,0,1,0,0
414,1,17786.28,17786.28,17786.28,17786.28,60.0,60,60,296.438,296.438,296.438,C,971225,971225,5043,0,1,0,0
458,1,8755.199999999999,8755.199999999999,8755.199999999999,8755.199999999999,60.0,60,60,145.92,145.92,145.92,C,971011,971011,5051,0,1,0,0
530,1,3202.944,3202.944,3202.944,3202.944,48.0,48,48,66.728,66.728,66.728,C,980313,980313,5061,0,1,0,0
568,1,7478.4,7478.4,7478.4,7478.4,24.0,24,24,311.59999999999997,311.59999999999997,311.59999999999997,D,970428,970428,5072,0,1,0,0
810,1,3885.12,3885.12,3885.12,3885.12,60.0,60,60,64.752,64.752,64.752,C,970401,970401,5110,0,1,0,0
861,1,2923.872,2923.872,2923.872,2923.872,12.0,12,12,243.656,243.656,243.656,A,970820,970820,5117,0,1,0,0
946,1,7908.864,7908.864,7908.864,7908.864,48.0,48,48,164.768,164.768,164.768,B,940724,940724,5126,0,1,0,0
976,1,923.856,923.856,923.856,923.856,12.0,12,12,76.988,76.988,76.988,A,940511,940511,5130,0,1,0,0
