"account_id","num_loans","loan_amount_total_usd","loan_amount_avg_usd","loan_duration_avg","loan_payment_avg_usd","first_loan_date","last_loan_date","loan_status","time","diff"
"4476","1","577.2959999999999","577.2959999999999","24.0","24.054","960925","960925","A","1763192081694","1"
"6699","1","4833.599999999999","4833.599999999999","48.0","100.7","970924","970924","C","1763192081694","1"
"37","1","12102.24","12102.24","60.0","201.704","981014","981014","D","1763192081694","1"
"9138","1","10344.36","10344.36","60.0","172.406","970603","970603","D","1763192081694","1"
"10807","1","2563.632","2563.632","12.0","213.636","970307","970307","A","1763192081694","1"
"303","1","4284.576","4284.576","36.0","119.01599999999999","980530","980530","C","1763192081694","1"
"9627","1","9285.984","9285.984","48.0","193.458","951122","951122","C","1763192081694","1"
"10065","1","11826.815999999999","11826.815999999999","48.0","246.392","970923","970923","C","1763192081694","1"
"9265","1","1503.888","1503.888","12.0","125.324","940711","940711","A","1763192081694","1"
"8547","1","6574.608","6574.608","36.0","182.628","960530","960530","C","1763192081694","1"
"7857","1","2588.256","2588.256","12.0","215.688","950118","950118","A","1763192081694","1"
"2246","1","15800.4","15800.4","60.0","263.34","970205","970205","C","1763192081694","1"
"6715","1","5239.44","5239.44","60.0","87.324","950114","950114","D","1763192081694","1"
"4907","1","3755.616","3755.616","48.0","78.242","960103","960103","C","1763192081694","1"
"11054","1","5658.96","5658.96","60.0","94.316","960820","960820","C","1763192081694","1"
"8268","1","327.408","327.408","24.0","13.642","970926","970926","C","1763192081694","1"
"1862","1","15052.56","15052.56","60.0","250.876","961016","961016","C","1763192081694","1"
"1083","1","1937.088","1937.088","36.0","53.808","980416","980416","C","1763192081694","1"
"9227","1","7280.04","7280.04","60.0","121.334","980429","980429","C","1763192081694","1"
"2051","1","11167.44","11167.44","60.0","186.124","970422","970422","D","1763192081694","1"
"9052","1","2735.0879999999997","2735.0879999999997","24.0","113.962","970226","970226","D","1763192081694","1"
"2322","1","1760.1599999999999","1760.1599999999999","24.0","73.34","960629","960629","A","1763192081694","1"
"10365","1","9904.32","9904.32","36.0","275.12","970104","970104","D","1763192081694","1"
"4794","1","17689.152","17689.152","48.0","368.524","971227","971227","D","1763192081694","1"
"1256","1","2700.432","2700.432","36.0","75.012","950529","950529","A","1763192081694","1"
"344","1","3837.24","3837.24","60.0","63.954","941221","941221","C","1763192081694","1"
"5591","1","8431.44","8431.44","60.0","140.524","970121","970121","C","1763192081694","1"
"9422","1","3274.9919999999997","3274.9919999999997","12.0","272.916","961029","961029","A","1763192081694","1"
"378","1","8755.199999999999","8755.199999999999","60.0","145.92","971011","971011","C","1763192081694","1"
"7049","1","18816.84","18816.84","60.0","313.614","980522","980522","C","1763192081694","1"
"226","1","4155.072","4155.072","12.0","346.256","980712","980712","C","1763192081694","1"
"1698","1","5394.023999999999","5394.023999999999","36.0","149.834","960706","960706","C","1763192081694","1"
"3115","1","12204.84","12204.84","60.0","203.414","961115","961115","C","1763192081694","1"
"1978","1","7797.599999999999","7797.599999999999","36.0","216.6","941204","941204","A","1763192081694","1"
"5269","1","4461.96","4461.96","60.0","74.366","970202","970202","C","1763192081694","1"
"8026","1","4874.184","4874.184","36.0","135.394","970909","970909","C","1763192081694","1"
"2762","1","4232.592","4232.592","24.0","176.358","940705","940705","A","1763192081694","1"
"7562","1","11764.8","11764.8","48.0","245.1","951231","951231","C","1763192081694","1"
"1886","1","6173.784","6173.784","36.0","171.494","960731","960731","C","1763192081694","1"
"97","1","3909.288","3909.288","12.0","325.774","970810","970810","A","1763192081694","1"
"3556","1","6643.92","6643.92","60.0","110.732","980922","980922","C","1763192081694","1"
"2699","1","8784.384","8784.384","48.0","183.00799999999998","980830","980830","C","1763192081694","1"
"8625","1","1797.552","1797.552","24.0","74.898","950410","950410","A","1763192081694","1"
"2143","1","2715.48","2715.48","36.0","75.42999999999999","960909","960909","C","1763192081694","1"
"7636","1","1610.5919999999999","1610.5919999999999","12.0","134.216","980126","980126","C","1763192081694","1"
"2247","1","2755.152","2755.152","24.0","114.798","970224","970224","C","1763192081694","1"
"9673","1","3351.6","3351.6","36.0","93.1","980912","980912","C","1763192081694","1"
"6118","1","10284.624","10284.624","36.0","285.68399999999997","950108","950108","B","1763192081694","1"
"5700","1","3939.8399999999997","3939.8399999999997","60.0","65.664","950316","950316","D","1763192081694","1"
"4462","1","2526.24","2526.24","24.0","105.25999999999999","960514","960514","B","1763192081694","1"
"4190","1","15419.64","15419.64","60.0","256.99399999999997","970828","970828","C","1763192081694","1"
"6061","1","195.624","195.624","12.0","16.302","980528","980528","C","1763192081694","1"
"9093","1","7193.4","7193.4","60.0","119.89","940803","940803","C","1763192081694","1"
"6400","1","2751.504","2751.504","24.0","114.646","960212","960212","B","1763192081694","1"
"7546","1","1594.176","1594.176","12.0","132.84799999999998","951102","951102","A","1763192081694","1"
"6495","1","3988.632","3988.632","12.0","332.38599999999997","980428","980428","C","1763192081694","1"
"1244","1","1364.3519999999999","1364.3519999999999","48.0","28.424","970228","970228","C","1763192081694","1"
"10345","1","1187.8799999999999","1187.8799999999999","12.0","98.99","980121","980121","C","1763192081694","1"
"1498","1","6299.639999999999","6299.639999999999","60.0","104.994","981007","981007","C","1763192081694","1"
"8094","1","8376.264","8376.264","36.0","232.674","970509","970509","C","1763192081694","1"
"10093","1","8804.448","8804.448","36.0","244.56799999999998","951020","951020","A","1763192081694","1"
"1071","1","9621.6","9621.6","60.0","160.35999999999999","940120","940120","C","1763192081694","1"
"4852","1","8105.4","8105.4","36.0","225.15","960304","960304","C","1763192081694","1"
"6097","1","995.904","995.904","36.0","27.663999999999998","971022","971022","C","1763192081694","1"
"4414","1","3694.5119999999997","3694.5119999999997","24.0","153.938","950223","950223","A","1763192081694","1"
"11021","1","6421.392","6421.392","24.0","267.558","950304","950304","B","1763192081694","1"
"8405","1","10116.36","10116.36","60.0","168.606","951014","951014","C","1763192081694","1"
"1993","1","2599.2","2599.2","12.0","216.6","950415","950415","B","1763192081694","1"
"1580","1","7381.728","7381.728","24.0","307.572","971127","971127","C","1763192081694","1"
"3804","1","2403.576","2403.576","12.0","200.298","960208","960208","A","1763192081694","1"
"7990","1","5508.48","5508.48","48.0","114.75999999999999","980423","980423","C","1763192081694","1"
"9504","1","12968.64","12968.64","60.0","216.144","970310","970310","C","1763192081694","1"
"7769","1","7451.04","7451.04","48.0","155.23","940522","940522","A","1763192081694","1"
"7485","1","3465.6","3465.6","24.0","144.4","940316","940316","A","1763192081694","1"
"6950","1","18075.84","18075.84","48.0","376.58","970212","970212","C","1763192081694","1"
"6688","1","872.784","872.784","36.0","24.244","961023","961023","C","1763192081694","1"
"6138","1","2569.104","2569.104","24.0","107.04599999999999","970730","970730","C","1763192081694","1"
"2419","1","3640.7039999999997","3640.7039999999997","12.0","303.392","950130","950130","A","1763192081694","1"
"9104","1","6539.04","6539.04","48.0","136.23","940807","940807","A","1763192081694","1"
"6922","1","5300.544","5300.544","24.0","220.856","981206","981206","C","1763192081694","1"
"8566","1","8748.36","8748.36","36.0","243.01","940929","940929","B","1763192081694","1"
"10915","1","5793.48","5793.48","60.0","96.55799999999999","980611","980611","C","1763192081694","1"
"2962","1","1187.424","1187.424","12.0","98.952","941221","941221","A","1763192081694","1"
"6289","1","3254.016","3254.016","48.0","67.792","960811","960811","C","1763192081694","1"
"10134","1","5181.9839999999995","5181.9839999999995","24.0","215.916","980111","980111","C","1763192081694","1"
"6461","1","5734.656","5734.656","36.0","159.296","970615","970615","C","1763192081694","1"
"3050","1","3150.048","3150.048","12.0","262.504","940902","940902","A","1763192081694","1"
"11079","1","3735.5519999999997","3735.5519999999997","12.0","311.296","970426","970426","A","1763192081694","1"
"7190","1","2407.68","2407.68","60.0","40.128","950606","950606","C","1763192081694","1"
"6358","1","10274.592","10274.592","48.0","214.054","960806","960806","C","1763192081694","1"
"8558","1","10957.68","10957.68","60.0","182.628","940614","940614","C","1763192081694","1"
"6738","1","1440.504","1440.504","12.0","120.042","951031","951031","A","1763192081694","1"
"3875","1","5849.568","5849.568","24.0","243.732","980210","980210","C","1763192081694","1"
"4746","1","7781.639999999999","7781.639999999999","60.0","129.694","970907","970907","C","1763192081694","1"
"9548","1","1754.6879999999999","1754.6879999999999","48.0","36.556","961115","961115","C","1763192081694","1"
"7966","1","17984.64","17984.64","60.0","299.74399999999997","970907","970907","D","1763192081694","1"
"6510","1","2925.696","2925.696","24.0","121.904","970506","970506","C","1763192081694","1"
"675","1","3885.12","3885.12","60.0","64.752","970401","970401","C","1763192081694","1"
"2496","1","6274.5599999999995","6274.5599999999995","60.0","104.576","960112","960112","C","1763192081694","1"
"5422","1","14017.44","14017.44","60.0","233.624","960603","960603","C","1763192081694","1"
"2933","1","10355.76","10355.76","60.0","172.596","940517","940517","C","1763192081694","1"
"2705","1","3567.7439999999997","3567.7439999999997","36.0","99.104","931208","931208","A","1763192081694","1"
"785","1","5931.648","5931.648","36.0","164.768","980212","980212","C","1763192081694","1"
"11327","1","1488.384","1488.384","24.0","62.016","980927","980927","C","1763192081694","1"
"3273","1","3591.456","3591.456","12.0","299.288","970921","970921","B","1763192081694","1"
"10478","1","10168.8","10168.8","48.0","211.85","980102","980102","C","1763192081694","1"
"5944","1","2991.36","2991.36","48.0","62.32","980618","980618","C","1763192081694","1"
"8680","1","3257.208","3257.208","36.0","90.478","960714","960714","C","1763192081694","1"
"8158","1","9071.208","9071.208","36.0","251.97799999999998","971101","971101","C","1763192081694","1"
"4467","1","3274.9919999999997","3274.9919999999997","36.0","90.972","980803","980803","C","1763192081694","1"
"4825","1","813.048","813.048","12.0","67.754","950818","950818","A","1763192081694","1"
"3354","1","189.24","189.24","12.0","15.77","940705","940705","A","1763192081694","1"
"5358","1","2596.92","2596.92","60.0","43.282","970124","970124","C","1763192081694","1"
"7819","1","791.616","791.616","48.0","16.492","950202","950202","C","1763192081694","1"
"10257","1","1436.856","1436.856","12.0","119.738","980902","980902","C","1763192081694","1"
"4894","1","4446.912","4446.912","24.0","185.28799999999998","931104","931104","A","1763192081694","1"
"7815","1","7208.447999999999","7208.447999999999","24.0","300.352","960101","960101","A","1763192081694","1"
"10954","1","711.36","711.36","60.0","11.856","970402","970402","C","1763192081694","1"
"1284","1","1995.456","1995.456","12.0","166.28799999999998","981205","981205","C","1763192081694","1"
"10266","1","2873.712","2873.712","24.0","119.738","931223","931223","B","1763192081694","1"
"5952","1","5367.12","5367.12","24.0","223.63","940930","940930","A","1763192081694","1"
"4260","1","9293.28","9293.28","60.0","154.888","940629","940629","C","1763192081694","1"
"4784","1","8339.328","8339.328","48.0","173.736","971124","971124","C","1763192081694","1"
"4127","1","3830.4","3830.4","24.0","159.6","970815","970815","D","1763192081694","1"
"5256","1","7370.784","7370.784","36.0","204.744","940510","940510","A","1763192081694","1"
"8225","1","1375.752","1375.752","12.0","114.646","980330","980330","D","1763192081694","1"
"6158","1","9420.96","9420.96","48.0","196.26999999999998","970208","970208","D","1763192081694","1"
"7274","1","1863.672","1863.672","12.0","155.30599999999998","980312","980312","C","1763192081694","1"
"9034","1","1449.624","1449.624","12.0","120.80199999999999","931216","931216","A","1763192081694","1"
"19","1","1150.488","1150.488","12.0","95.874","960429","960429","B","1763192081694","1"
"4354","1","12451.08","12451.08","60.0","207.518","981030","981030","C","1763192081694","1"
"8316","1","5121.7919999999995","5121.7919999999995","24.0","213.408","950319","950319","A","1763192081694","1"
"1250","1","6940.32","6940.32","48.0","144.59","961125","961125","C","1763192081694","1"
"2055","1","10307.88","10307.88","60.0","171.798","980719","980719","C","1763192081694","1"
"2912","1","14446.08","14446.08","60.0","240.768","960229","960229","C","1763192081694","1"
"10131","1","8184.744","8184.744","36.0","227.35399999999998","940502","940502","B","1763192081694","1"
"4473","1","3570.48","3570.48","60.0","59.507999999999996","970103","970103","C","1763192081694","1"
"6706","1","2464.68","2464.68","60.0","41.077999999999996","980712","980712","C","1763192081694","1"
"8038","1","1362.528","1362.528","24.0","56.772","980118","980118","C","1763192081694","1"
"2694","1","3482.016","3482.016","12.0","290.168","940308","940308","A","1763192081694","1"
"5317","1","3426.8399999999997","3426.8399999999997","36.0","95.19","970307","970307","C","1763192081694","1"
"8784","1","2825.3759999999997","2825.3759999999997","24.0","117.724","980428","980428","C","1763192081694","1"
"10762","1","2615.616","2615.616","36.0","72.65599999999999","960917","960917","C","1763192081694","1"
"8919","1","2891.9519999999998","2891.9519999999998","24.0","120.49799999999999","980608","980608","C","1763192081694","1"
"11135","1","6939.864","6939.864","36.0","192.774","940301","940301","A","1763192081694","1"
"8173","1","3052.92","3052.92","12.0","254.41","940520","940520","A","1763192081694","1"
"9859","1","11422.8","11422.8","60.0","190.38","970810","970810","C","1763192081694","1"
"2580","1","3394.92","3394.92","60.0","56.582","960802","960802","C","1763192081694","1"
"5072","1","12065.76","12065.76","60.0","201.096","970209","970209","C","1763192081694","1"
"3711","1","17517.239999999998","17517.239999999998","60.0","291.954","971105","971105","D","1763192081694","1"
"7445","1","2103.984","2103.984","24.0","87.666","940315","940315","A","1763192081694","1"
"915","1","11762.976","11762.976","48.0","245.06199999999998","950916","950916","C","1763192081694","1"
"1811","1","9099.48","9099.48","60.0","151.658","940623","940623","C","1763192081694","1"
"8519","1","2838.144","2838.144","12.0","236.512","940811","940811","A","1763192081694","1"
"9424","1","3177.864","3177.864","36.0","88.274","970826","970826","C","1763192081694","1"
"3161","1","1140.456","1140.456","12.0","95.038","980616","980616","C","1763192081694","1"
"3562","1","6648.48","6648.48","24.0","277.02","980524","980524","C","1763192081694","1"
"2106","1","3857.7599999999998","3857.7599999999998","12.0","321.48","961003","961003","A","1763192081694","1"
"10905","1","2170.56","2170.56","48.0","45.22","970823","970823","C","1763192081694","1"
"7957","1","1630.2","1630.2","12.0","135.85","970614","970614","A","1763192081694","1"
"10857","1","14651.279999999999","14651.279999999999","60.0","244.188","971130","971130","D","1763192081694","1"
"11013","1","10440.119999999999","10440.119999999999","60.0","174.002","930906","930906","A","1763192081694","1"
"7795","1","14140.56","14140.56","60.0","235.676","961029","961029","C","1763192081694","1"
"1407","1","4767.936","4767.936","24.0","198.664","980117","980117","C","1763192081694","1"
"8645","1","9154.199999999999","9154.199999999999","60.0","152.57","981208","981208","C","1763192081694","1"
"6397","1","6878.76","6878.76","60.0","114.646","960916","960916","C","1763192081694","1"
"7965","1","2715.48","2715.48","12.0","226.29","940930","940930","A","1763192081694","1"
"4616","1","2534.448","2534.448","24.0","105.602","980112","980112","C","1763192081694","1"
"7082","1","7378.08","7378.08","48.0","153.71","980208","980208","C","1763192081694","1"
"816","1","1847.712","1847.712","24.0","76.988","950108","950108","A","1763192081694","1"
"4851","1","5382.624","5382.624","24.0","224.27599999999998","960822","960822","A","1763192081694","1"
"940","1","10802.64","10802.64","60.0","180.04399999999998","960529","960529","C","1763192081694","1"
"1869","1","1441.872","1441.872","36.0","40.052","980129","980129","C","1763192081694","1"
"8772","1","3354.336","3354.336","48.0","69.882","970619","970619","C","1763192081694","1"
"7632","1","6477.023999999999","6477.023999999999","48.0","134.938","980108","980108","C","1763192081694","1"
"1528","1","7261.344","7261.344","48.0","151.278","970721","970721","C","1763192081694","1"
"6075","1","15502.176","15502.176","48.0","322.962","980106","980106","D","1763192081694","1"
"2720","1","3567.7439999999997","3567.7439999999997","36.0","99.104","980427","980427","C","1763192081694","1"
"9633","1","2259.024","2259.024","24.0","94.12599999999999","970630","970630","D","1763192081694","1"
"2872","1","10196.16","10196.16","60.0","169.936","970519","970519","C","1763192081694","1"
"2335","1","20565.6","20565.6","60.0","342.76","971112","971112","D","1763192081694","1"
"4052","1","4032.864","4032.864","36.0","112.024","971228","971228","C","1763192081694","1"
"1447","1","3803.04","3803.04","48.0","79.23","970603","970603","C","1763192081694","1"
"4774","1","17672.736","17672.736","48.0","368.182","950709","950709","C","1763192081694","1"
"9455","1","14240.88","14240.88","60.0","237.34799999999998","980207","980207","C","1763192081694","1"
"7181","1","1895.136","1895.136","12.0","157.928","980517","980517","C","1763192081694","1"
"10644","1","10258.632","10258.632","36.0","284.962","980618","980618","C","1763192081694","1"
"2334","1","1835.856","1835.856","24.0","76.494","970804","970804","C","1763192081694","1"
"8475","1","800.736","800.736","24.0","33.364","940121","940121","A","1763192081694","1"
"6678","1","11186.592","11186.592","48.0","233.054","970709","970709","C","1763192081694","1"
"7894","1","5819.472","5819.472","36.0","161.652","971021","971021","C","1763192081694","1"
"10812","1","5346.144","5346.144","48.0","111.378","980529","980529","C","1763192081694","1"
"7713","1","8376.72","8376.72","60.0","139.612","980225","980225","C","1763192081694","1"
"8639","1","7054.32","7054.32","60.0","117.572","980606","980606","C","1763192081694","1"
"8092","1","2131.7999999999997","2131.7999999999997","60.0","35.53","960220","960220","C","1763192081694","1"
"2986","1","942.096","942.096","24.0","39.254","971206","971206","C","1763192081694","1"
"8114","1","3773.4","3773.4","60.0","62.89","970815","970815","C","1763192081694","1"
"11362","1","4917.504","4917.504","24.0","204.896","961227","961227","A","1763192081694","1"
"3403","1","2729.16","2729.16","36.0","75.81","980627","980627","C","1763192081694","1"
"309","1","3467.424","3467.424","48.0","72.238","981125","981125","C","1763192081694","1"
"10148","1","839.952","839.952","12.0","69.996","980127","980127","C","1763192081694","1"
"2035","1","6700.464","6700.464","36.0","186.124","980125","980125","C","1763192081694","1"
"8742","1","1259.472","1259.472","12.0","104.956","970729","970729","A","1763192081694","1"
"5118","1","2022.816","2022.816","48.0","42.141999999999996","970504","970504","C","1763192081694","1"
"813","1","923.856","923.856","12.0","76.988","940511","940511","A","1763192081694","1"
"3752","1","705.432","705.432","12.0","58.786","950402","950402","A","1763192081694","1"
"8129","1","2839.968","2839.968","36.0","78.88799999999999","940730","940730","A","1763192081694","1"
"3353","1","5550.432","5550.432","24.0","231.268","970209","970209","C","1763192081694","1"
"1776","1","1641.6","1641.6","24.0","68.39999999999999","980527","980527","C","1763192081694","1"
"4727","1","4090.3199999999997","4090.3199999999997","24.0","170.43","950811","950811","A","1763192081694","1"
"2622","1","5181.072","5181.072","24.0","215.878","980521","980521","C","1763192081694","1"
"5066","1","2342.928","2342.928","24.0","97.622","960210","960210","B","1763192081694","1"
"8899","1","4762.92","4762.92","60.0","79.382","951225","951225","C","1763192081694","1"
"9156","1","6206.616","6206.616","36.0","172.406","981201","981201","C","1763192081694","1"
"2187","1","2031.936","2031.936","12.0","169.328","971104","971104","A","1763192081694","1"
"4033","1","3202.944","3202.944","48.0","66.728","970320","970320","C","1763192081694","1"
"5574","1","1695.864","1695.864","12.0","141.322","960410","960410","A","1763192081694","1"
"2279","1","11958.144","11958.144","48.0","249.128","980601","980601","C","1763192081694","1"
"9433","1","1696.32","1696.32","24.0","70.67999999999999","981005","981005","C","1763192081694","1"
"10630","1","7533.12","7533.12","24.0","313.88","950624","950624","A","1763192081694","1"
"8330","1","290.928","290.928","24.0","12.122","940330","940330","A","1763192081694","1"
"9199","1","1119.024","1119.024","12.0","93.252","960911","960911","B","1763192081694","1"
"4144","1","8093.088","8093.088","36.0","224.808","980621","980621","C","1763192081694","1"
"10911","1","4989.096","4989.096","36.0","138.58599999999998","940728","940728","A","1763192081694","1"
"10679","1","7516.704","7516.704","24.0","313.19599999999997","971002","971002","C","1763192081694","1"
"7844","1","3480.192","3480.192","24.0","145.008","940625","940625","A","1763192081694","1"
"7437","1","4207.968","4207.968","48.0","87.666","980419","980419","C","1763192081694","1"
"6555","1","8071.2","8071.2","36.0","224.2","940331","940331","A","1763192081694","1"
"10652","1","1737.36","1737.36","12.0","144.78","980507","980507","C","1763192081694","1"
"11069","1","4527.168","4527.168","48.0","94.316","970304","970304","C","1763192081694","1"
"11042","1","8251.776","8251.776","36.0","229.216","951204","951204","A","1763192081694","1"
"3608","1","6136.848","6136.848","36.0","170.468","960524","960524","C","1763192081694","1"
"1772","1","7705.9439999999995","7705.9439999999995","36.0","214.054","960313","960313","C","1763192081694","1"
"1888","1","2179.68","2179.68","12.0","181.64","970830","970830","B","1763192081694","1"
"4863","1","2891.04","2891.04","12.0","240.92","970318","970318","A","1763192081694","1"
"1801","1","6306.48","6306.48","36.0","175.18","930711","930711","A","1763192081694","1"
"3679","1","16904.832","16904.832","48.0","352.18399999999997","960723","960723","C","1763192081694","1"
"330","1","12600.192","12600.192","48.0","262.504","980712","980712","C","1763192081694","1"
"6930","1","985.872","985.872","24.0","41.077999999999996","940526","940526","A","1763192081694","1"
"2343","1","3774.768","3774.768","24.0","157.28199999999998","951104","951104","A","1763192081694","1"
"7859","1","2740.56","2740.56","12.0","228.38","961119","961119","A","1763192081694","1"
"7614","1","12182.496","12182.496","48.0","253.802","960518","960518","C","1763192081694","1"
"5628","1","8565.96","8565.96","60.0","142.766","950425","950425","C","1763192081694","1"
"8489","1","10082.16","10082.16","36.0","280.06","950623","950623","A","1763192081694","1"
"3230","1","2932.9919999999997","2932.9919999999997","36.0","81.472","961004","961004","C","1763192081694","1"
"6425","1","1393.992","1393.992","12.0","116.166","941220","941220","A","1763192081694","1"
