client_id,account_id,disp_id,classic,gold,junior
10040,8127,9732,1,0,0
10043,8129,9735,1,0,0
10095,8173,9787,0,0,1
1011,839,1011,1,0,0
10145,8212,9837,1,0,0
1018,844,1018,1,0,0
1019,845,1019,1,0,0
10198,8260,9890,0,0,1
1020,846,1020,1,0,0
1027,853,1027,1,0,0
10282,8327,9974,0,0,1
1030,855,1030,1,0,0
1031,856,1031,1,0,0
1039,862,1039,0,0,1
1040,863,1040,1,0,0
10479,8492,10171,1,0,0
10528,8533,10220,1,0,0
10543,8547,10235,1,0,0
1056,877,1056,1,0,0
1057,878,1057,1,0,0
1059,880,1059,1,0,0
1062,882,1062,1,0,0
10636,8625,10328,1,0,0
1066,885,1066,1,0,0
10798,8759,10490,0,0,1
1080,897,1080,1,0,0
1089,904,1089,0,1,0
10912,8856,10604,0,1,0
1098,911,1098,1,0,0
11004,8931,10696,1,0,0
11195,9093,10887,1,0,0
112,95,112,1,0,0
11319,9192,11011,1,0,0
1133,940,1133,0,1,0
11331,9203,11023,0,1,0
11371,9235,11063,1,0,0
114,96,114,1,0,0
1140,945,1140,1,0,0
11409,9265,11101,0,0,1
1146,950,1146,1,0,0
11491,9333,11183,1,0,0
1157,960,1157,1,0,0
11596,9422,11288,1,0,0
116,97,116,1,0,0
1165,967,1165,1,0,0
1168,969,1168,0,0,1
11683,9491,11375,0,0,1
1169,970,1169,1,0,0
11701,9504,11393,1,0,0
1179,978,1179,0,1,0
1182,981,1182,1,0,0
1194,990,1194,1,0,0
1202,998,1202,0,0,1
12050,9790,11742,1,0,0
12079,9814,11771,0,1,0
1211,1007,1211,0,0,1
1213,1009,1213,1,0,0
12133,9859,11825,1,0,0
12144,9869,11836,0,0,1
1223,1019,1223,1,0,0
1228,1023,1228,1,0,0
1231,1026,1231,1,0,0
12328,10022,12020,1,0,0
12378,10065,12070,1,0,0
1239,1032,1239,0,0,1
12396,10079,12088,1,0,0
1242,1035,1242,1,0,0
1243,1036,1243,1,0,0
1244,1037,1244,1,0,0
1246,1039,1246,0,1,0
1251,1043,1251,1,0,0
12577,10227,12269,1,0,0
12599,10243,12291,1,0,0
12643,10280,12335,1,0,0
12662,10297,12354,1,0,0
127,105,127,1,0,0
1271,1058,1271,1,0,0
12750,10361,12442,1,0,0
12802,10404,12494,1,0,0
12810,10411,12502,0,1,0
12843,10439,12535,0,1,0
12850,10445,12542,1,0,0
1289,1074,1289,0,1,0
1292,1077,1292,1,0,0
12943,10520,12635,0,1,0
1296,1080,1296,1,0,0
12986,10558,12678,1,0,0
130,108,130,1,0,0
13044,10607,12736,1,0,0
13089,10644,12781,0,0,1
13095,10650,12787,0,1,0
131,109,131,1,0,0
1310,1092,1310,0,0,1
13113,10663,12805,1,0,0
13134,10679,12826,1,0,0
132,110,132,1,0,0
1329,1108,1329,1,0,0
1339,1116,1339,1,0,0
13405,10905,13097,1,0,0
13406,10906,13098,0,0,1
1345,1121,1345,1,0,0
13468,10954,13160,1,0,0
1353,1127,1353,1,0,0
13539,11013,13231,0,0,1
13576,11042,13268,1,0,0
1359,1132,1359,1,0,0
13620,11079,13312,1,0,0
13750,11186,13442,0,0,1
1378,1146,1378,1,0,0
