client_id,account_id,disp_id,loan_purpose,personal_loan,car_loan,home_loan,credit_card_loan,business_loan
2181,1801,2181,debt_consolidation,1,0,0,0,0
11314,9188,11006,home_improvement,0,0,1,0,0
2235,1843,2235,medical,1,0,0,0,0
13539,11013,13231,credit_card,0,0,0,1,0
10200,8261,9892,credit_card,0,0,0,1,0
13845,11265,13537,home_improvement,0,0,1,0,0
6551,5428,6551,credit_card,0,0,0,1,0
5911,4894,5911,debt_consolidation,1,0,0,0,0
12754,10364,12446,debt_consolidation,1,0,0,0,0
6367,5270,6367,credit_card,0,0,0,1,0
7291,6034,7291,credit_card,0,0,0,1,0
8091,6701,8091,credit_card,0,0,0,1,0
3264,2705,3264,credit_card,0,0,0,1,0
8598,7123,8598,credit_card,0,0,0,1,0
11126,9034,10818,debt_consolidation,1,0,0,0,0
12625,10266,12317,credit_card,0,0,0,1,0
2,2,2,credit_card,0,0,0,1,0
9173,7401,8865,credit_card,0,0,0,1,0
3001,2486,3001,debt_consolidation,1,0,0,0,0
1286,1071,1286,credit_card,0,0,0,1,0
10459,8475,10151,debt_consolidation,1,0,0,0,0
13657,11111,13349,debt_consolidation,1,0,0,0,0
1944,1603,1944,home_improvement,0,0,1,0,0
1404,1166,1404,credit_card,0,0,0,1,0
9973,8073,9665,credit_card,0,0,0,1,0
13447,10940,13139,debt_consolidation,1,0,0,0,0
6417,5313,6417,credit_card,0,0,0,1,0
13687,11135,13379,credit_card,0,0,0,1,0
3251,2694,3251,credit_card,0,0,0,1,0
9226,7445,8918,credit_card,0,0,0,1,0
9273,7485,8965,credit_card,0,0,0,1,0
10287,8330,9979,small_business,0,0,0,0,1
7914,6555,7914,small_business,0,0,0,0,1
12396,10079,12088,credit_card,0,0,0,1,0
6499,5385,6499,home_improvement,0,0,1,0,0
7127,5891,7127,credit_card,0,0,0,1,0
12464,10131,12156,debt_consolidation,1,0,0,0,0
10275,8321,9967,debt_consolidation,1,0,0,0,0
6349,5256,6349,small_business,0,0,0,0,1
976,813,976,moving,1,0,0,0,0
3542,2933,3542,credit_card,0,0,0,1,0
10095,8173,9787,credit_card,0,0,0,1,0
