client_id;account_id;disp_id;loan_id;status;amount;duration;payments
2166;1787;2166;5314;B;96396;12;8033.00
2181;1801;2181;5316;A;165960;36;4610.00
11314;9188;11006;6863;A;127080;60;2118.00
2235;1843;2235;5325;A;105804;36;2939.00
13539;11013;13231;7240;A;274740;60;4579.00
10200;8261;9892;6687;A;87840;24;3660.00
13845;11265;13537;7284;A;52788;12;4399.00
6551;5428;6551;6111;B;174744;24;7281.00
13490;10973;13182;7235;A;154416;48;3217.00
5911;4894;5911;5997;A;117024;24;4876.00
12754;10364;12446;7121;A;21924;36;609.00
6367;5270;6367;6077;A;79608;24;3317.00
7291;6034;7291;6228;B;464520;60;7742.00
8091;6701;8091;6356;A;95400;36;2650.00
3264;2705;3264;5523;A;93888;36;2608.00
8598;7123;8598;6456;A;47016;12;3918.00
12695;10320;12387;7104;A;259740;60;4329.00
11126;9034;10818;6820;A;38148;12;3179.00
11372;9236;11064;6876;A;86616;12;7218.00
12625;10266;12317;7097;B;75624;24;3151.00
2;2;2;4959;A;80952;24;3373.00
9173;7401;8865;6499;A;80952;24;3373.00
3001;2486;3001;5479;A;24516;12;2043.00
1286;1071;1286;5170;C;253200;60;4220.00
10459;8475;10151;6721;A;21072;24;878.00
13657;11111;13349;7259;A;108144;36;3004.00
1944;1603;1944;5285;A;78936;12;6578.00
1404;1166;1404;5189;A;149040;48;3105.00
9973;8073;9665;6650;B;49320;12;4110.00
13447;10940;13139;7226;A;197748;36;5493.00
6417;5313;6417;6087;C;300660;60;5011.00
13687;11135;13379;7262;A;182628;36;5073.00
3251;2694;3251;5519;A;91632;12;7636.00
9593;7753;9285;6577;A;51696;24;2154.00
9226;7445;8918;6509;A;55368;24;2307.00
9273;7485;8965;6520;A;91200;24;3800.00
10287;8330;9979;6699;A;7656;24;319.00
7914;6555;7914;6336;A;212400;36;5900.00
12396;10079;12088;7055;C;167100;60;2785.00
6499;5385;6499;6103;C;149340;60;2489.00
7127;5891;7127;6202;A;65184;12;5432.00
12464;10131;12156;7066;B;215388;36;5983.00
10275;8321;9967;6696;C;89040;60;1484.00
6349;5256;6349;6072;A;193968;36;5388.00
976;813;976;5130;A;24312;12;2026.00
3542;2933;3542;5568;C;272520;60;4542.00
10095;8173;9787;6678;A;80340;12;6695.00
12102;9833;11794;6998;A;97632;12;8136.00
9611;7769;9303;6580;A;196080;48;4085.00
7815;6473;7815;6316;B;76908;12;6409.00
9236;7454;8928;6512;A;63312;48;1319.00
8366;6930;8366;6407;A;25944;24;1081.00
210;173;210;5002;A;104808;12;8734.00
9945;8051;9637;6647;A;208320;48;4340.00
12843;10439;12535;7137;A;151560;24;6315.00
11497;9337;11189;6903;A;52128;24;2172.00
5517;4576;5517;5918;A;300204;36;8339.00
9915;8027;9607;6642;A;77640;12;6470.00
7166;5927;7166;6210;B;87216;48;1817.00
7576;6273;7576;6279;A;87360;24;3640.00
13603;11065;13295;7249;A;69360;48;1445.00
10555;8558;10247;6736;C;288360;60;4806.00
6567;5442;6567;6112;B;174744;24;7281.00
2195;1811;2195;5319;C;239460;60;3991.00
9702;7844;9394;6596;A;91584;24;3816.00
5134;4260;5134;5837;C;244560;60;4076.00
4056;3354;4056;5657;A;4980;12;415.00
3335;2762;3335;5533;A;111384;24;4641.00
7311;6051;7311;6232;B;276660;36;7685.00
11409;9265;11101;6888;A;39576;12;3298.00
6317;5228;6317;6066;A;173808;24;7242.00
3414;2824;3414;5549;C;50460;60;841.00
512;426;512;5060;D;252060;60;4201.00
5965;4937;5965;6004;A;143904;24;5996.00
946;790;946;5126;B;208128;48;4336.00
13412;10911;13104;7220;A;131292;36;3647.00
10043;8129;9735;6668;A;74736;36;2076.00
2635;2176;2635;5395;B;299088;36;8308.00
11195;9093;10887;6836;C;189300;60;3155.00
6301;5215;6301;6064;A;14628;12;1219.00
11574;9403;11266;6919;A;120888;36;3358.00
11208;9104;10900;6841;A;172080;48;3585.00
6178;5120;6178;6038;A;323472;48;6739.00
10510;8519;10202;6729;A;74688;12;6224.00
13260;10788;12952;7198;A;45768;12;3814.00
10198;8260;9890;6686;A;224604;36;6239.00
5133;4259;5133;5836;A;79632;24;3318.00
12432;10105;12124;7061;A;121896;24;5079.00
3687;3050;3687;5595;A;82896;12;6908.00
4428;3674;4428;5723;A;23628;12;1969.00
6616;5481;6616;6120;A;209184;48;4358.00
11461;9307;11153;6895;A;41904;12;3492.00
5337;4427;5337;5882;A;87816;12;7318.00
4620;3834;4620;5754;A;23052;12;1921.00
9675;7824;9367;6594;B;189696;24;7904.00
10566;8566;10258;6738;B;230220;36;6395.00
9844;7965;9536;6624;A;71460;12;5955.00
7195;5952;7195;6216;A;141240;24;5885.00
7299;6040;7299;6229;A;11736;24;489.00
5366;4448;5366;5887;A;192744;36;5354.00
11063;8982;10755;6808;A;227880;36;6330.00
