account_id,district_id,frequency,date
943,1,POPLATEK MESICNE,930203
2429,61,POPLATEK MESICNE,930206
2884,1,POPLATEK MESICNE,930208
7753,74,POPLATEK MESICNE,930208
1477,1,POPLATEK MESICNE,930208
1006,6,POPLATEK MESICNE,930208
2861,38,POPLATEK MESICNE,930210
2342,51,POPLATEK MESICNE,930211
142,51,POPLATEK MESICNE,930215
128,2,POPLATEK MESICNE,930219
4937,12,POPLATEK MESICNE,930220
925,59,POPLATEK MESICNE,930223
197,1,POPLATEK MESICNE,930225
3734,43,POPLATEK MESICNE,930308
3935,23,POPLATEK MESICNE,930308
4596,74,POPLATEK MESICNE,930309
2895,19,POPLATEK MESICNE,930309
2219,60,POPLATEK MESICNE,930311
2581,72,POPLATEK MESICNE,930311
3674,38,POPLATEK MESICNE,930312
123,21,POPLATEK MESICNE,930313
588,66,POPLATEK MESICNE,930314
1372,1,POPLATEK MESICNE,930316
1535,46,POPLATEK MESICNE,930320
1787,30,POPLATEK TYDNE,930322
3678,1,POPLATEK MESICNE,930324
4093,1,POPLATEK MESICNE,930325
2528,65,POPLATEK MESICNE,930325
1402,74,POPLATEK MESICNE,930326
3076,54,POPLATEK MESICNE,930327
4347,1,POPLATEK MESICNE,930327
3586,59,POPLATEK MESICNE,930327
2493,62,POPLATEK MESICNE,930329
1898,70,POPLATEK MESICNE,930401
2817,56,POPLATEK MESICNE,930407
220,72,POPLATEK MESICNE,930409
104,37,POPLATEK MESICNE,930415
5740,43,POPLATEK MESICNE,930416
10738,45,POPLATEK TYDNE,930417
10973,18,POPLATEK TYDNE,930420
2189,75,POPLATEK MESICNE,930422
1505,69,POPLATEK MESICNE,930423
717,75,POPLATEK MESICNE,930424
2814,72,POPLATEK MESICNE,930425
3068,59,POPLATEK MESICNE,930425
1476,61,POPLATEK MESICNE,930426
977,1,POPLATEK MESICNE,930426
928,20,POPLATEK MESICNE,930426
10105,55,POPLATEK MESICNE,930428
1887,68,POPLATEK MESICNE,930509
