card_id,disp_id,type,issued
150,859,classic,960330 00:00:00
286,1812,gold,960421 00:00:00
157,907,classic,960424 00:00:00
731,4751,classic,960623 00:00:00
1233,13382,classic,960706 00:00:00
320,2045,classic,960711 00:00:00
24,153,junior,960805 00:00:00
119,655,classic,960808 00:00:00
854,6753,classic,961007 00:00:00
99,548,gold,961009 00:00:00
220,1333,classic,961013 00:00:00
374,2423,classic,961108 00:00:00
294,1861,classic,961204 00:00:00
642,4137,classic,961213 00:00:00
786,5478,classic,961231 00:00:00
105,590,classic,970117 00:00:00
678,4405,gold,970120 00:00:00
210,1253,classic,970216 00:00:00
324,2074,classic,970219 00:00:00
266,1690,classic,970304 00:00:00
679,4416,classic,970306 00:00:00
513,3260,classic,970315 00:00:00
572,3636,junior,970516 00:00:00
69,438,classic,970517 00:00:00
155,900,junior,970517 00:00:00
847,6610,classic,970520 00:00:00
801,5684,classic,970615 00:00:00
133,742,classic,970616 00:00:00
311,1954,classic,970701 00:00:00
122,667,junior,970703 00:00:00
476,3079,classic,970706 00:00:00
591,3779,classic,970723 00:00:00
512,3259,classic,970724 00:00:00
140,798,classic,970822 00:00:00
182,1067,gold,970831 00:00:00
1025,9625,classic,970908 00:00:00
703,4546,classic,970917 00:00:00
896,7567,classic,970918 00:00:00
343,2164,classic,970921 00:00:00
622,3981,junior,970922 00:00:00
612,3906,classic,970922 00:00:00
1203,12893,classic,970926 00:00:00
234,1424,classic,970929 00:00:00
428,2698,classic,971013 00:00:00
438,2768,classic,971030 00:00:00
648,4188,classic,971118 00:00:00
51,321,classic,971121 00:00:00
1234,13386,classic,971128 00:00:00
86,490,classic,971128 00:00:00
532,3382,classic,971130 00:00:00
200,1220,gold,971209 00:00:00
507,3245,classic,971211 00:00:00
282,1799,gold,971213 00:00:00
536,3404,classic,971213 00:00:00
1105,11237,classic,971213 00:00:00
517,3291,classic,980109 00:00:00
474,3066,junior,980124 00:00:00
340,2155,classic,980125 00:00:00
518,3292,gold,980210 00:00:00
655,4231,classic,980213 00:00:00
398,2522,classic,980214 00:00:00
796,5579,classic,980220 00:00:00
574,3640,junior,980223 00:00:00
132,731,junior,980226 00:00:00
946,8359,junior,980228 00:00:00
419,2626,classic,980228 00:00:00
1189,12683,classic,980317 00:00:00
63,378,junior,980327 00:00:00
417,2619,classic,980330 00:00:00
619,3958,classic,980401 00:00:00
965,8636,classic,980402 00:00:00
444,2815,gold,980403 00:00:00
775,5253,gold,980411 00:00:00
498,3186,classic,980418 00:00:00
933,7959,junior,980421 00:00:00
176,1049,classic,980425 00:00:00
457,2948,junior,980516 00:00:00
218,1322,classic,980518 00:00:00
212,1280,classic,980524 00:00:00
631,4061,junior,980609 00:00:00
991,9149,junior,980701 00:00:00
738,4808,junior,980702 00:00:00
260,1616,classic,980705 00:00:00
450,2880,classic,980707 00:00:00
485,3124,classic,980708 00:00:00
567,3611,classic,980708 00:00:00
66,425,classic,980708 00:00:00
603,3850,classic,980720 00:00:00
623,3984,classic,980725 00:00:00
530,3360,classic,980725 00:00:00
308,1938,classic,980730 00:00:00
618,3947,classic,980731 00:00:00
32,219,classic,980806 00:00:00
550,3515,classic,980808 00:00:00
96,528,classic,980826 00:00:00
141,808,classic,980915 00:00:00
634,4081,junior,980922 00:00:00
414,2606,classic,980926 00:00:00
1193,12743,classic,981001 00:00:00
416,2616,classic,981001 00:00:00
447,2845,classic,981007 00:00:00
31,208,classic,981021 00:00:00
542,3439,classic,981022 00:00:00
449,2865,classic,981028 00:00:00
524,3333,classic,981102 00:00:00
217,1316,classic,981109 00:00:00
580,3713,classic,981116 00:00:00
632,4069,classic,981119 00:00:00
257,1589,classic,981120 00:00:00
466,2998,classic,981125 00:00:00
677,4382,junior,981201 00:00:00
819,5978,gold,981206 00:00:00
306,1929,classic,981211 00:00:00
371,2388,gold,981213 00:00:00
527,3348,junior,981214 00:00:00
886,7325,classic,981215 00:00:00
196,1197,classic,981222 00:00:00
573,3638,classic,981223 00:00:00
924,7862,classic,981224 00:00:00
