client_id,account_id,disp_id,classic,gold,junior
13694,11141,13386,1,0,0
1424,1182,1424,1,0,0
153,128,153,0,0,1
1589,1314,1589,1,0,0
1616,1335,1616,1,0,0
1690,1396,1690,1,0,0
1799,1485,1799,0,1,0
1812,1495,1812,0,1,0
1861,1535,1861,1,0,0
1929,1591,1929,1,0,0
1938,1599,1938,1,0,0
1954,1611,1954,1,0,0
2045,1685,2045,1,0,0
2074,1709,2074,1,0,0
208,172,208,1,0,0
2155,1778,2155,1,0,0
2164,1786,2164,1,0,0
219,180,219,1,0,0
2388,1963,2388,0,1,0
2423,1994,2423,1,0,0
2522,2080,2522,1,0,0
2606,2153,2606,1,0,0
2616,2162,2616,1,0,0
2619,2164,2619,1,0,0
2623,2167,2623,1,0,0
2626,2170,2626,1,0,0
2650,2189,2650,0,0,1
2688,2219,2688,0,1,0
2698,2227,2698,1,0,0
2762,2282,2762,1,0,0
2768,2287,2768,1,0,0
2815,2328,2815,0,1,0
2845,2354,2845,1,0,0
2865,2371,2865,1,0,0
2880,2385,2880,1,0,0
2948,2441,2948,0,0,1
2998,2483,2998,1,0,0
3066,2540,3066,0,0,1
3079,2550,3079,1,0,0
3084,2554,3084,1,0,0
3115,2581,3115,1,0,0
3124,2588,3124,1,0,0
3186,2640,3186,1,0,0
321,266,321,1,0,0
3230,2675,3230,0,0,1
3245,2689,3245,1,0,0
3259,2701,3259,1,0,0
3260,2702,3260,1,0,0
3291,2725,3291,1,0,0
3292,2726,3292,0,1,0
3333,2760,3333,1,0,0
3348,2773,3348,0,0,1
3360,2783,3360,1,0,0
3382,2799,3382,1,0,0
3404,2817,3404,1,0,0
3439,2845,3439,1,0,0
3515,2908,3515,1,0,0
3573,2959,3573,1,0,0
3611,2990,3611,1,0,0
3636,3010,3636,0,0,1
3638,3012,3638,1,0,0
3640,3014,3640,0,0,1
3713,3071,3713,1,0,0
3779,3124,3779,1,0,0
378,311,378,0,0,1
3850,3185,3850,1,0,0
3906,3229,3906,1,0,0
3947,3262,3947,1,0,0
3958,3269,3958,1,0,0
3981,3290,3981,0,0,1
3984,3293,3984,1,0,0
4061,3359,4061,0,0,1
4069,3366,4069,1,0,0
4081,3375,4081,0,0,1
4137,3422,4137,1,0,0
4188,3465,4188,1,0,0
4231,3503,4231,1,0,0
425,348,425,1,0,0
4328,3586,4328,0,0,1
438,360,438,1,0,0
4382,3633,4382,0,0,1
4405,3654,4405,0,1,0
4416,3663,4416,1,0,0
4532,3756,4532,1,0,0
4546,3770,4546,1,0,0
4751,3940,4751,1,0,0
4808,3988,4808,0,0,1
490,405,490,1,0,0
4915,4078,4915,1,0,0
5138,4264,5138,0,0,1
5253,4361,5253,0,1,0
528,438,528,1,0,0
5433,4503,5433,0,0,1
5478,4543,5478,1,0,0
548,456,548,0,1,0
5579,4631,5579,1,0,0
5684,4715,5684,1,0,0
590,491,590,1,0,0
5978,4949,5978,0,1,0
655,544,655,1,0,0
6610,5477,6610,1,0,0
667,554,667,0,0,1
6753,5593,6753,1,0,0
731,610,731,0,0,1
7325,6062,7325,1,0,0
742,618,742,1,0,0
7567,6265,7567,1,0,0
7862,6510,7862,1,0,0
7959,6592,7959,0,0,1
798,666,798,1,0,0
808,673,808,1,0,0
8359,6924,8359,0,0,1
859,717,859,1,0,0
8636,7156,8636,1,0,0
900,750,900,0,0,1
907,757,907,1,0,0
9457,7637,9149,0,0,1
9593,7753,9285,1,0,0
9933,8041,9625,1,0,0
