disp_id,client_id,account_id,type
4,4,3,OWNER
5,5,3,DISPONENT
6,6,4,OWNER
10,10,8,OWNER
11,11,8,DISPONENT
17,17,13,OWNER
18,18,13,DISPONENT
59,59,50,OWNER
68,68,59,OWNER
105,105,88,OWNER
123,123,102,OWNER
125,125,104,OWNER
126,126,104,DISPONENT
128,128,106,OWNER
137,137,114,OWNER
143,143,119,OWNER
147,147,123,OWNER
148,148,123,DISPONENT
153,153,128,OWNER
156,156,130,OWNER
164,164,137,OWNER
171,171,142,OWNER
172,172,142,DISPONENT
201,201,166,OWNER
208,208,172,OWNER
209,209,172,DISPONENT
215,215,176,OWNER
219,219,180,OWNER
239,239,197,OWNER
248,248,206,OWNER
249,249,206,DISPONENT
251,251,208,OWNER
257,257,214,OWNER
258,258,214,DISPONENT
265,265,220,OWNER
269,269,224,OWNER
278,278,231,OWNER
279,279,231,DISPONENT
297,297,246,OWNER
298,298,246,DISPONENT
321,321,266,OWNER
322,322,267,OWNER
323,323,267,DISPONENT
378,378,311,OWNER
379,379,311,DISPONENT
385,385,315,OWNER
400,400,328,OWNER
401,401,328,DISPONENT
405,405,331,OWNER
409,409,335,OWNER
416,416,340,OWNER
417,417,340,DISPONENT
425,425,348,OWNER
433,433,355,OWNER
438,438,360,OWNER
479,479,397,OWNER
480,480,397,DISPONENT
490,490,405,OWNER
491,491,406,OWNER
494,494,409,OWNER
512,512,426,OWNER
523,523,435,OWNER
526,526,437,OWNER
527,527,437,DISPONENT
528,528,438,OWNER
534,534,443,OWNER
536,536,445,OWNER
548,548,456,OWNER
550,550,458,OWNER
551,551,459,OWNER
563,563,469,OWNER
564,564,469,DISPONENT
565,565,470,OWNER
589,589,490,OWNER
590,590,491,OWNER
598,598,498,OWNER
599,599,498,DISPONENT
604,604,502,OWNER
610,610,508,OWNER
625,625,520,OWNER
630,630,524,OWNER
637,637,529,OWNER
639,639,531,OWNER
655,655,544,OWNER
667,667,554,OWNER
670,670,557,OWNER
678,678,565,OWNER
695,695,578,OWNER
696,696,578,DISPONENT
698,698,580,OWNER
699,699,581,OWNER
704,704,586,OWNER
706,706,588,OWNER
708,708,590,OWNER
731,731,610,OWNER
732,732,610,DISPONENT
742,742,618,OWNER
750,750,624,OWNER
762,762,635,OWNER
766,766,639,OWNER
767,767,639,DISPONENT
776,776,647,OWNER
777,777,647,DISPONENT
789,789,658,OWNER
798,798,666,OWNER
799,799,666,DISPONENT
808,808,673,OWNER
812,812,676,OWNER
818,818,682,OWNER
827,827,690,OWNER
828,828,690,DISPONENT
840,840,700,OWNER
847,847,706,OWNER
859,859,717,OWNER
860,860,717,DISPONENT
870,870,725,OWNER
872,872,727,OWNER
877,877,731,OWNER
878,878,731,DISPONENT
898,898,749,OWNER
899,899,749,DISPONENT
900,900,750,OWNER
901,901,751,OWNER
907,907,757,OWNER
910,910,760,OWNER
917,917,767,OWNER
925,925,773,OWNER
927,927,775,OWNER
944,944,789,OWNER
945,945,789,DISPONENT
949,949,792,OWNER
968,968,808,OWNER
970,970,809,OWNER
975,975,812,OWNER
1008,1008,837,OWNER
1025,1025,851,OWNER
1029,1029,854,OWNER
1034,1034,858,OWNER
1045,1045,867,OWNER
1049,1049,871,OWNER
1067,1067,886,OWNER
1071,1071,889,OWNER
1076,1076,893,OWNER
1083,1083,900,OWNER
1084,1084,900,DISPONENT
1100,1100,913,OWNER
1114,1114,925,OWNER
1115,1115,926,OWNER
1117,1117,928,OWNER
1118,1118,928,DISPONENT
1121,1121,931,OWNER
1124,1124,933,OWNER
1131,1131,939,OWNER
1132,1132,939,DISPONENT
1136,1136,942,OWNER
1137,1137,943,OWNER
1178,1178,977,OWNER
1197,1197,993,OWNER
1204,1204,1000,OWNER
1207,1207,1003,OWNER
1208,1208,1004,OWNER
1210,1210,1006,OWNER
1214,1214,1010,OWNER
1215,1215,1011,OWNER
1216,1216,1012,OWNER
1220,1220,1016,OWNER
1226,1226,1022,OWNER
1227,1227,1022,DISPONENT
1229,1229,1024,OWNER
1245,1245,1038,OWNER
1253,1253,1044,OWNER
1276,1276,1063,OWNER
1279,1279,1066,OWNER
1280,1280,1067,OWNER
1281,1281,1067,DISPONENT
1307,1307,1089,OWNER
1316,1316,1097,OWNER
1317,1317,1097,DISPONENT
1322,1322,1101,OWNER
1333,1333,1112,OWNER
1341,1341,1118,OWNER
1343,1343,1120,OWNER
1344,1344,1120,DISPONENT
1349,1349,1124,OWNER
1369,1369,1138,OWNER
1376,1376,1145,OWNER
1377,1377,1145,DISPONENT
1383,1383,1150,OWNER
1406,1406,1168,OWNER
1407,1407,1168,DISPONENT
1424,1424,1182,OWNER
