loan_id,account_id,date,amount,duration,payments,status
7198,10788,940823,45768,12,3814.0,A
7061,10105,940827,121896,24,5079.0,A
5723,3674,940910,23628,12,1969.0,A
6120,5481,940911,209184,48,4358.0,A
5161,1012,941028,98184,24,4091.0,A
5390,2167,941030,170256,24,7094.0,A
6223,5991,941103,61056,48,1272.0,A
6645,8041,941106,140400,36,3900.0,A
7142,10451,941219,482940,60,8049.0,D
7192,10738,941221,115992,36,3222.0,A
6526,7523,950103,288468,36,8013.0,A
5724,3678,950205,316140,60,5269.0,D
5599,3064,950321,15420,12,1285.0,A
5414,2228,950329,185952,48,3874.0,C
6929,9472,950508,36396,12,3033.0,A
5138,854,950530,87216,48,1817.0,C
6157,5650,950710,98592,24,4108.0,A
6153,5632,950725,285600,60,4760.0,C
5693,3489,950801,44088,24,1837.0,A
5237,1375,950829,45336,24,1889.0,A
7008,9897,950922,36168,12,3014.0,A
6985,9731,951122,113796,36,3161.0,A
5125,789,951123,73056,48,1522.0,C
6403,6924,951205,194880,48,4060.0,C
5413,2227,951212,92976,24,3874.0,A
5160,1011,951218,204000,60,3400.0,C
5900,4503,960101,135360,48,2820.0,C
6043,5126,960111,20352,48,424.0,C
7263,11138,960119,89880,24,3745.0,A
5128,808,960411,215616,48,4492.0,D
5470,2456,960415,200976,48,4187.0,C
5350,1967,960421,249312,48,5194.0,C
5494,2572,960613,360000,48,7500.0,C
6471,7184,960804,155640,24,6485.0,A
6144,5593,960809,44376,12,3698.0,A
5088,544,960822,91152,24,3798.0,A
6461,7136,960919,74124,36,2059.0,C
5741,3754,961103,68544,24,2856.0,A
5388,2153,961128,61560,12,5130.0,A
5591,3021,961204,155616,48,3242.0,C
6805,8972,961221,45024,48,938.0,C
6878,9242,970124,23184,12,1932.0,A
6554,7637,970129,390096,48,8127.0,C
6010,4969,970306,150180,60,2503.0,C
5953,4715,970314,97176,24,4049.0,C
7046,10049,970328,91632,12,7636.0,A
5868,4361,970329,90156,12,7513.0,A
5005,176,970410,27456,12,2288.0,A
6913,9377,970429,99936,24,4164.0,C
5634,3229,970501,39024,12,3252.0,A
6322,6510,970506,76992,24,3208.0,C
5940,4660,970528,106944,24,4456.0,C
6278,6265,970610,87360,24,3640.0,C
7085,10202,970619,305424,48,6363.0,C
7049,10063,970624,233424,36,6484.0,C
6984,9730,970815,116040,60,1934.0,C
6097,5362,970821,202848,48,4226.0,C
6338,6592,970824,390660,60,6511.0,C
5638,3249,970827,68124,12,5677.0,A
6007,4949,970830,289920,48,6040.0,C
5369,2080,970912,214596,36,5961.0,C
5236,1374,970915,389136,48,8107.0,C
6118,5477,971004,349392,48,7279.0,C
7264,11141,971007,44940,12,3745.0,A
5681,3448,971020,68664,24,2861.0,C
6075,5267,971126,129312,24,5388.0,D
5103,666,971128,12540,12,1045.0,A
6468,7176,971130,203940,60,3399.0,C
5933,4631,971213,87528,24,3647.0,C
5909,4550,980103,61320,60,1022.0,C
6791,8926,980123,566640,60,9444.0,C
6633,7997,980205,160656,24,6694.0,C
6083,5305,980331,240528,48,5011.0,C
5158,1004,980411,188532,36,5237.0,C
6464,7156,980416,49488,24,2062.0,C
6235,6062,980419,321360,60,5356.0,C
7195,10774,980423,339168,48,7066.0,C
6312,6453,980517,10944,36,304.0,C
5815,4116,980603,151200,36,4200.0,C
6857,9159,980608,69600,48,1450.0,C
5527,2728,980615,156420,60,2607.0,C
5154,993,980701,108720,60,1812.0,C
7200,10799,980711,31140,60,519.0,C
7164,10613,980815,249792,48,5204.0,C
5304,1718,980820,172272,24,7178.0,C
5368,2073,981005,44640,24,1860.0,C
5293,1656,981029,189792,48,3954.0,C
5526,2725,981108,69624,36,1934.0,C
6469,7180,981117,99744,24,4156.0,C
7292,11317,981122,317460,60,5291.0,C
5644,3293,981127,276084,36,7669.0,C
