client_id,account_id,disp_id,loan_purpose,personal_loan,car_loan,home_loan,credit_card_loan,business_loan
2166,1787,2166,credit_card,0,0,0,1,0
13490,10973,13182,credit_card,0,0,0,1,0
12695,10320,12387,credit_card,0,0,0,1,0
11372,9236,11064,home_improvement,0,0,1,0,0
9593,7753,9285,credit_card,0,0,0,1,0
7815,6473,7815,credit_card,0,0,0,1,0
11497,9337,11189,debt_consolidation,1,0,0,0,0
7311,6051,7311,debt_consolidation,1,0,0,0,0
512,426,512,credit_card,0,0,0,1,0
5965,4937,5965,credit_card,0,0,0,1,0
13260,10788,12952,debt_consolidation,1,0,0,0,0
12432,10105,12124,credit_card,0,0,0,1,0
4428,3674,4428,debt_consolidation,1,0,0,0,0
6616,5481,6616,debt_consolidation,1,0,0,0,0
1216,1012,1216,debt_consolidation,1,0,0,0,0
2623,2167,2623,debt_consolidation,1,0,0,0,0
7241,5991,7241,credit_card,0,0,0,1,0
9933,8041,9625,credit_card,0,0,0,1,0
12859,10451,12551,credit_card,0,0,0,1,0
13201,10738,12893,debt_consolidation,1,0,0,0,0
9316,7523,9008,debt_consolidation,1,0,0,0,0
4433,3678,4433,debt_consolidation,1,0,0,0,0
3705,3064,3705,debt_consolidation,1,0,0,0,0
2700,2228,2700,credit_card,0,0,0,1,0
11662,9472,11354,debt_consolidation,1,0,0,0,0
1029,854,1029,credit_card,0,0,0,1,0
6829,5650,6829,debt_consolidation,1,0,0,0,0
6803,5632,6803,credit_card,0,0,0,1,0
4217,3489,4217,debt_consolidation,1,0,0,0,0
1663,1375,1663,debt_consolidation,1,0,0,0,0
12181,9897,11873,debt_consolidation,1,0,0,0,0
11978,9731,11670,credit_card,0,0,0,1,0
944,789,944,debt_consolidation,1,0,0,0,0
8359,6924,8359,debt_consolidation,1,0,0,0,0
2698,2227,2698,debt_consolidation,1,0,0,0,0
1215,1011,1215,credit_card,0,0,0,1,0
5433,4503,5433,medical,1,0,0,0,0
6185,5126,6185,debt_consolidation,1,0,0,0,0
13690,11138,13382,credit_card,0,0,0,1,0
968,808,968,debt_consolidation,1,0,0,0,0
2966,2456,2966,credit_card,0,0,0,1,0
2392,1967,2392,credit_card,0,0,0,1,0
3103,2572,3103,credit_card,0,0,0,1,0
8670,7184,8670,debt_consolidation,1,0,0,0,0
6753,5593,6753,debt_consolidation,1,0,0,0,0
655,544,655,debt_consolidation,1,0,0,0,0
8615,7136,8615,debt_consolidation,1,0,0,0,0
4529,3754,4529,debt_consolidation,1,0,0,0,0
2606,2153,2606,debt_consolidation,1,0,0,0,0
3649,3021,3649,credit_card,0,0,0,1,0
11050,8972,10742,credit_card,0,0,0,1,0
11381,9242,11073,debt_consolidation,1,0,0,0,0
9457,7637,9149,debt_consolidation,1,0,0,0,0
6001,4969,6001,credit_card,0,0,0,1,0
5684,4715,5684,debt_consolidation,1,0,0,0,0
12358,10049,12050,home_improvement,0,0,1,0,0
5253,4361,5253,debt_consolidation,1,0,0,0,0
215,176,215,home_improvement,0,0,1,0,0
11545,9377,11237,debt_consolidation,1,0,0,0,0
3906,3229,3906,debt_consolidation,1,0,0,0,0
7862,6510,7862,debt_consolidation,1,0,0,0,0
5618,4660,5618,debt_consolidation,1,0,0,0,0
7567,6265,7567,debt_consolidation,1,0,0,0,0
12547,10202,12239,credit_card,0,0,0,1,0
12376,10063,12068,credit_card,0,0,0,1,0
11976,9730,11668,debt_consolidation,1,0,0,0,0
6473,5362,6473,credit_card,0,0,0,1,0
7959,6592,7959,debt_consolidation,1,0,0,0,0
3929,3249,3929,debt_consolidation,1,0,0,0,0
5978,4949,5978,debt_consolidation,1,0,0,0,0
2522,2080,2522,debt_consolidation,1,0,0,0,0
1662,1374,1662,credit_card,0,0,0,1,0
6610,5477,6610,debt_consolidation,1,0,0,0,0
13694,11141,13386,debt_consolidation,1,0,0,0,0
4169,3448,4169,debt_consolidation,1,0,0,0,0
6363,5267,6363,debt_consolidation,1,0,0,0,0
798,666,798,credit_card,0,0,0,1,0
8661,7176,8661,credit_card,0,0,0,1,0
5579,4631,5579,debt_consolidation,1,0,0,0,0
5487,4550,5487,debt_consolidation,1,0,0,0,0
10997,8926,10689,credit_card,0,0,0,1,0
9880,7997,9572,debt_consolidation,1,0,0,0,0
6408,5305,6408,credit_card,0,0,0,1,0
1208,1004,1208,credit_card,0,0,0,1,0
8636,7156,8636,credit_card,0,0,0,1,0
7325,6062,7325,debt_consolidation,1,0,0,0,0
13246,10774,12938,debt_consolidation,1,0,0,0,0
7787,6453,7787,credit_card,0,0,0,1,0
4956,4116,4956,credit_card,0,0,0,1,0
11274,9159,10966,credit_card,0,0,0,1,0
3294,2728,3294,credit_card,0,0,0,1,0
1197,993,1197,debt_consolidation,1,0,0,0,0
13276,10799,12968,credit_card,0,0,0,1,0
13051,10613,12743,debt_consolidation,1,0,0,0,0
2083,1718,2083,debt_consolidation,1,0,0,0,0
2514,2073,2514,credit_card,0,0,0,1,0
2008,1656,2008,credit_card,0,0,0,1,0
3291,2725,3291,debt_consolidation,1,0,0,0,0
8666,7180,8666,debt_consolidation,1,0,0,0,0
13912,11317,13604,credit_card,0,0,0,1,0
3984,3293,3984,debt_consolidation,1,0,0,0,0
