trans_id,account_id,date,type,operation,amount,balance,k_symbol,bank,account
3459536,128,931130,PRIJEM,,106.0,25052.2,UROK,,
3554023,717,931130,PRIJEM,,173.9,38196.3,UROK,,
3651009,3654,931130,PRIJEM,,171.1,42818.8,UROK,,
3651544,3674,931130,PRIJEM,,71.9,13537.6,UROK,,
3649623,3618,931130,PRIJEM,,98.0,29881.2,UROK,,
3652533,3699,931130,PRIJEM,,228.7,56322.0,UROK,,
1146153,3920,931130,VYDAJ,VYBER,8600.0,36951.1,,,
2862491,9472,931130,VYDAJ,VYBER,30.0,41441.8,SLUZBY,,
221360,751,931130,VYDAJ,VYBER,14.6,17812.8,SLUZBY,,
740678,2528,931130,VYDAJ,VYBER,14.6,22238.2,SLUZBY,,
3631756,3064,931130,PRIJEM,,136.4,32079.1,UROK,,
3631870,3068,931130,PRIJEM,,95.8,23158.9,UROK,,
3629877,3007,931130,PRIJEM,,202.0,38616.9,UROK,,
3630038,3011,931130,PRIJEM,,15.3,10253.3,UROK,,
3632128,3076,931130,PRIJEM,,89.2,21855.6,UROK,,
359709,1222,931130,VYDAJ,VYBER,14.6,25768.1,SLUZBY,,
434482,1476,931130,VYDAJ,VYBER,14.6,26405.7,SLUZBY,,
434043,1475,931130,VYDAJ,VYBER,30.0,25210.2,SLUZBY,,
434876,1477,931130,VYDAJ,VYBER,14.6,19678.7,SLUZBY,,
749132,2554,931130,VYDAJ,VYBER,14.6,45993.1,SLUZBY,,
3662265,4013,931130,PRIJEM,,26.0,17856.0,UROK,,
1271357,4347,931130,VYDAJ,VYBER,14.6,29079.2,SLUZBY,,
3583295,1610,931130,PRIJEM,,184.6,41838.0,UROK,,
294936,1006,931130,VYDAJ,VYBER,14.6,27022.3,SLUZBY,,
327634,1118,931130,VYDAJ,VYBER,14.6,34202.3,SLUZBY,,
685904,2342,931130,VYDAJ,VYBER,14.6,18056.4,SLUZBY,,
258886,886,931130,VYDAJ,VYBER,14.6,32022.0,SLUZBY,,
